date,circuit_id,uptime_pct,latency_ms,jitter_ms,packet_loss_pct
2025-08-03,548,99.891,6.9,0.1,0.017
2025-08-03,985,100.077,19.2,0.78,0.076
2025-08-03,713,99.944,19.0,1.54,0.0
2025-08-03,639,99.933,22.3,2.3,0.147
2025-08-03,472,99.906,24.3,2.06,0.066
2025-08-03,1150,100.023,17.3,2.27,0.102
2025-08-03,393,99.993,23.0,3.31,0.094
2025-08-03,1159,99.939,32.8,2.0,0.082
2025-08-03,1022,99.924,5.1,1.25,0.058
2025-08-03,427,99.988,18.4,2.83,0.132
2025-08-03,1133,100.011,18.2,2.12,0.036
2025-08-03,417,99.918,26.8,0.8,0.047
2025-08-03,718,99.973,5.4,2.78,0.025
2025-08-03,979,99.973,16.3,0.51,0.069
2025-08-03,836,99.967,24.2,2.52,0.0
2025-08-03,829,100.017,23.0,2.81,0.092
2025-08-03,805,99.927,21.5,1.68,0.284
2025-08-03,748,99.95,11.6,1.7,0.169
2025-08-03,72,99.934,5.0,3.51,0.08
2025-08-03,699,99.937,22.5,1.12,0.0
2025-08-03,44,100.01,15.2,2.57,0.054
2025-08-03,1124,100.004,18.9,0.1,0.108
2025-08-03,926,99.938,23.6,2.16,0.167
2025-08-03,1072,99.946,5.9,1.72,0.095
2025-08-03,1406,99.945,15.4,3.52,0.041
2025-08-03,644,100.015,19.1,0.6,0.0
2025-08-03,279,99.946,20.1,1.23,0.0
2025-08-03,309,99.911,15.1,1.16,0.007
2025-08-03,1264,100.055,19.9,1.22,0.052
2025-08-03,64,100.041,22.1,1.94,0.0
2025-08-03,607,99.877,16.2,1.93,0.0
2025-08-03,596,99.895,18.0,0.1,0.0
2025-08-03,96,99.959,21.6,2.35,0.133
2025-08-03,112,100.041,23.6,1.77,0.223
2025-08-03,709,100.046,23.9,1.23,0.085
2025-08-03,1051,99.857,16.3,0.1,0.02
2025-08-03,1316,100.013,18.4,3.66,0.054
2025-08-03,242,99.967,16.5,2.58,0.051
2025-08-03,331,100.023,28.0,2.43,0.0
2025-08-03,705,99.991,26.5,2.71,0.078
2025-08-03,694,100.01,26.3,0.1,0.176
2025-08-03,147,100.002,21.2,1.5,0.073
2025-08-03,826,99.993,9.4,2.81,0.06
2025-08-03,873,100.036,22.4,1.88,0.059
2025-08-03,1207,99.995,19.2,2.61,0.0
2025-08-03,1052,99.901,14.9,0.63,0.0
2025-08-03,201,99.981,8.6,0.83,0.114
2025-08-03,61,99.937,18.3,0.82,0.0
2025-08-03,587,99.948,28.2,2.5,0.0
2025-08-03,598,99.985,23.9,2.75,0.0
2025-08-03,716,99.96,31.1,1.13,0.082
